postalcode,FIPS,date,time,Total Stations,Has Fuel:Has Power,Has Fuel:No Power,No Fuel:Has Power,No Power:No Fuel,PercentageOperational,raw_visit_counts
7030,22057,8/27/21,22:13,1,1,0,0,0,100,185
7030,22109,8/27/21,22:13,1,1,0,0,0,100,131
7030,22057,8/28/21,6:12,1,1,0,0,0,100,185
7030,22109,8/28/21,6:12,1,1,0,0,0,100,131
7030,22057,8/28/21,22:12,1,1,0,0,0,100,185
7030,22109,8/28/21,22:12,1,1,0,0,0,100,131
7030,22057,8/29/21,6:12,1,1,0,0,0,100,185
7030,22109,8/29/21,6:12,1,1,0,0,0,100,131
7030,22057,8/29/21,14:12,1,1,0,0,0,100,185
7030,22109,8/29/21,14:12,1,1,0,0,0,100,131
7030,22057,8/29/21,22:12,1,1,0,0,0,100,185
7030,22109,8/29/21,22:12,1,1,0,0,0,100,131
7030,22057,8/30/21,6:12,1,1,0,0,0,100,185
7030,22109,8/30/21,6:12,1,1,0,0,0,100,131
7030,22057,8/30/21,14:12,1,1,0,0,0,100,185
7030,22109,8/30/21,14:12,1,1,0,0,0,100,131
7030,22057,8/30/21,22:13,1,1,0,0,0,100,185
7030,22109,8/30/21,22:13,1,1,0,0,0,100,131
7030,22057,8/31/21,6:12,1,1,0,0,0,100,185
7030,22109,8/31/21,6:12,1,1,0,0,0,100,131
7030,22057,8/31/21,14:12,1,1,0,0,0,100,185
7030,22109,8/31/21,14:12,1,1,0,0,0,100,131
7030,22057,8/31/21,22:12,1,1,0,0,0,100,185
7030,22109,8/31/21,22:12,1,1,0,0,0,100,131
7030,22057,9/1/21,6:12,1,1,0,0,0,100,185
7030,22109,9/1/21,6:12,1,1,0,0,0,100,131
7030,22057,9/1/21,14:12,1,1,0,0,0,100,185
7030,22109,9/1/21,14:12,1,1,0,0,0,100,131
7030,22057,9/1/21,22:12,1,1,0,0,0,100,185
7030,22109,9/1/21,22:12,1,0,0,1,0,0,131
7030,22057,9/2/21,6:12,1,1,0,0,0,100,185
7030,22109,9/2/21,6:12,1,0,0,1,0,0,131
7030,22057,9/2/21,14:12,1,1,0,0,0,100,185
7030,22109,9/2/21,14:12,1,0,0,1,0,0,131
7030,22057,9/2/21,22:12,1,1,0,0,0,100,185
7030,22109,9/2/21,22:12,1,0,0,1,0,0,131
7030,22057,9/3/21,6:12,1,1,0,0,0,100,185
7030,22109,9/3/21,6:12,1,0,0,1,0,0,131
7030,22057,9/3/21,14:12,1,1,0,0,0,100,185
7030,22109,9/3/21,14:12,1,0,0,1,0,0,131
7030,22057,9/3/21,22:12,1,1,0,0,0,100,185
7030,22109,9/3/21,22:12,1,0,0,1,0,0,131
7030,22057,9/4/21,6:12,1,1,0,0,0,100,185
7030,22109,9/4/21,6:12,1,0,0,1,0,0,131
7030,22057,9/4/21,14:12,1,1,0,0,0,100,185
7030,22109,9/4/21,14:12,1,0,0,1,0,0,131
7030,22057,9/4/21,22:12,1,1,0,0,0,100,185
7030,22109,9/4/21,22:12,1,0,0,1,0,0,131
